#FORMAT=WebAnno TSV 3.3


#Text=Ей всегда казалось , что она пишет очень мало .
1-1	0-2	Ей	
13-5	1292-1299	решение	
13-6	1300-1306	многих	
13-7	1307-1314	сложных	
13-8	1315-1336	инженерно-технических	
13-9	1337-1342	задач	
13-10	1343-1345	им	
13-11	1346-1352	вскоре	
13-12	1353-1358	будет	
13-13	1359-1365	вполне	
13-14	1366-1368	по	
13-15	1369-1374	силам	
13-16	1375-1376	.	

#Text=Если же вы , напротив , хотите лучше чувствовать тетиву , тогда вам , возможно , подойдут перчатки из очень мягкой оленьей кожи .
14-1	1378-1382	Если	
14-2	1383-1385	же	
14-3	1386-1388	вы	
14-4	1389-1390	,	
14-5	1391-1399	напротив	
14-6	1400-1401	,	
14-7	1402-1408	хотите	
14-8	1409-1414	лучше	
14-9	1415-1426	чувствовать	
14-10	1427-1433	тетиву	
14-11	1434-1435	,	
14-12	1436-1441	тогда	
14-13	1442-1445	вам	
14-14	1446-1447	,	
14-15	1448-1456	возможно	
14-16	1457-1458	,	
14-17	1459-1467	подойдут	
14-18	1468-1476	перчатки	
14-19	1477-1479	из	
14-20	1480-1485	очень	
14-21	1486-1492	мягкой	
14-22	1493-1500	оленьей	
14-23	1501-1505	кожи	
14-24	1506-1507	.	

#Text=Английский вполне мог быть языком его матери ; он мог иметь некие познания в латыни и , возможно , бегло говорил по-французски .
15-1	1509-1519	Английский	
15-2	1520-1526	вполне	
15-3	1527-1530	мог	
15-4	1531-1535	быть	
15-5	1536-1542	языком	
15-6	1543-1546	его	
15-7	1547-1553	матери	
15-8	1554-1555	;	
15-9	1556-1558	он	
15-10	1559-1562	мог	
15-11	1563-1568	иметь	
15-12	1569-1574	некие	
15-13	1575-1583	познания	
15-14	1584-1585	в	
15-15	1586-1592	латыни	
15-16	1593-1594	и	
15-17	1595-1596	,	
15-18	1597-1605	возможно	
15-19	1606-1607	,	
15-20	1608-1613	бегло	
15-21	1614-1621	говорил	
15-22	1622-1635	по-французски	
15-23	1636-1637	.	

#Text=Вполне возможно , что наш герой порой выступал дерзко и бестактно .
16-1	1639-1645	Вполне	
16-2	1646-1654	возможно	
16-3	1655-1656	,	
16-4	1657-1660	что	
16-5	1661-1664	наш	
16-6	1665-1670	герой	
16-7	1671-1676	порой	
16-8	1677-1685	выступал	
16-9	1686-1692	дерзко	
16-10	1693-1694	и	
16-11	1695-1704	бестактно	
16-12	1705-1706	.	

#Text=У Тревиса , возможно , не было времени передать Алисе свой новый адрес .
17-1	1708-1709	У	
17-2	1710-1717	Тревиса	
17-3	1718-1719	,	
17-4	1720-1728	возможно	
17-5	1729-1730	,	
17-6	1731-1733	не	
17-7	1734-1738	было	
17-8	1739-1746	времени	
17-9	1747-1755	передать	
17-10	1756-1761	Алисе	
17-11	1762-1766	свой	
17-12	1767-1772	новый	
17-13	1773-1778	адрес	
17-14	1779-1780	.	

#Text=Я , конечно , понимаю , что все это зависит не только от Армении , потому что , возможно , в Турции были и происходят процессы , которые оказали влияние на обеспечение прогресса в этом процессе .
18-1	1782-1783	Я	
18-2	1784-1785	,	
18-3	1786-1793	конечно	
18-4	1794-1795	,	
18-5	1796-1803	понимаю	
18-6	1804-1805	,	
18-7	1806-1809	что	
18-8	1810-1813	все	
18-9	1814-1817	это	
18-10	1818-1825	зависит	
18-11	1826-1828	не	
18-12	1829-1835	только	
18-13	1836-1838	от	
18-14	1839-1846	Армении	
18-15	1847-1848	,	
18-16	1849-1855	потому	
18-17	1856-1859	что	
18-18	1860-1861	,	
18-19	1862-1870	возможно	
18-20	1871-1872	,	
18-21	1873-1874	в	
18-22	1875-1881	Турции	
18-23	1882-1886	были	
18-24	1887-1888	и	
18-25	1889-1899	происходят	
18-26	1900-1908	процессы	
18-27	1909-1910	,	
18-28	1911-1918	которые	
18-29	1919-1926	оказали	
18-30	1927-1934	влияние	
18-31	1935-1937	на	
18-32	1938-1949	обеспечение	
18-33	1950-1959	прогресса	
18-34	1960-1961	в	
18-35	1962-1966	этом	
18-36	1967-1975	процессе	
18-37	1976-1977	.	

#Text=Я не могу утверждать , но вполне возможно , что Шёрнер действовал с разрешения Гитлера , с которым он поддерживал прямую связь .
19-1	1979-1980	Я	
19-2	1981-1983	не	
19-3	1984-1988	могу	
19-4	1989-1999	утверждать	
19-5	2000-2001	,	
19-6	2002-2004	но	
19-7	2005-2011	вполне	
19-8	2012-2020	возможно	
19-9	2021-2022	,	
19-10	2023-2026	что	
19-11	2027-2033	Шёрнер	
19-12	2034-2044	действовал	
19-13	2045-2046	с	
19-14	2047-2057	разрешения	
19-15	2058-2065	Гитлера	
19-16	2066-2067	,	
19-17	2068-2069	с	
19-18	2070-2077	которым	
19-19	2078-2080	он	
19-20	2081-2092	поддерживал	
19-21	2093-2099	прямую	
19-22	2100-2105	связь	
19-23	2106-2107	.	

#Text=К тому же , вполне вероятно , что помощник пресс-атташе вообще не появлялся на службе после прилёта , заночевав у кого-нибудь из питерских друзей , которых , судя по его рассказам , имел немало .
20-1	2109-2110	К	
20-2	2111-2115	тому	
20-3	2116-2118	же	
20-4	2119-2120	,	
20-5	2121-2127	вполне	
20-6	2128-2136	вероятно	
20-7	2137-2138	,	
20-8	2139-2142	что	
20-9	2143-2151	помощник	
20-10	2152-2164	пресс-атташе	
20-11	2165-2171	вообще	
20-12	2172-2174	не	
20-13	2175-2184	появлялся	
20-14	2185-2187	на	
20-15	2188-2194	службе	
20-16	2195-2200	после	
20-17	2201-2208	прилёта	
20-18	2209-2210	,	
20-19	2211-2220	заночевав	
20-20	2221-2222	у	
20-21	2223-2234	кого-нибудь	
20-22	2235-2237	из	
20-23	2238-2247	питерских	
20-24	2248-2254	друзей	
20-25	2255-2256	,	
20-26	2257-2264	которых	
20-27	2265-2266	,	
20-28	2267-2271	судя	
20-29	2272-2274	по	
20-30	2275-2278	его	
20-31	2279-2288	рассказам	
20-32	2289-2290	,	
20-33	2291-2295	имел	
20-34	2296-2302	немало	
20-35	2303-2304	.	

#Text=Теперь он не только отвечает за тигра , и , вероятно , привез его из города в маленький аэропорт , на котором приземлились Натан и Рина , но и должен катать кресло Натана .
21-1	2306-2312	Теперь	
21-2	2313-2315	он	
21-3	2316-2318	не	
21-4	2319-2325	только	
21-5	2326-2334	отвечает	
21-6	2335-2337	за	
21-7	2338-2343	тигра	
21-8	2344-2345	,	
21-9	2346-2347	и	
21-10	2348-2349	,	
21-11	2350-2358	вероятно	
21-12	2359-2360	,	
21-13	2361-2367	привез	
21-14	2368-2371	его	
21-15	2372-2374	из	
21-16	2375-2381	города	
21-17	2382-2383	в	
21-18	2384-2393	маленький	
21-19	2394-2402	аэропорт	
21-20	2403-2404	,	
21-21	2405-2407	на	
21-22	2408-2415	котором	
21-23	2416-2428	приземлились	
21-24	2429-2434	Натан	
21-25	2435-2436	и	
21-26	2437-2441	Рина	
21-27	2442-2443	,	
21-28	2444-2446	но	
21-29	2447-2448	и	
21-30	2449-2455	должен	
21-31	2456-2462	катать	
21-32	2463-2469	кресло	
21-33	2470-2476	Натана	
21-34	2477-2478	.	

#Text=Хуже того , я подумал , что , вероятно , душевная болезнь его отца постигла и сына .
22-1	2480-2484	Хуже	
22-2	2485-2489	того	
22-3	2490-2491	,	
22-4	2492-2493	я	
22-5	2494-2501	подумал	
22-6	2502-2503	,	
22-7	2504-2507	что	
22-8	2508-2509	,	
22-9	2510-2518	вероятно	
22-10	2519-2520	,	
22-11	2521-2529	душевная	
22-12	2530-2537	болезнь	
22-13	2538-2541	его	
22-14	2542-2546	отца	
22-15	2547-2555	постигла	
22-16	2556-2557	и	
22-17	2558-2562	сына	
22-18	2563-2564	.	

#Text=В раннем детстве он был подброшен в приют , вероятно оставшись круглым сиротой .
23-1	2566-2567	В	
23-2	2568-2574	раннем	
23-3	2575-2582	детстве	
23-4	2583-2585	он	
23-5	2586-2589	был	
23-6	2590-2599	подброшен	
23-7	2600-2601	в	
23-8	2602-2607	приют	
23-9	2608-2609	,	
23-10	2610-2618	вероятно	
23-11	2619-2628	оставшись	
23-12	2629-2636	круглым	
23-13	2637-2644	сиротой	
23-14	2645-2646	.	

#Text=Весной , вероятно , здесь шумел дивный поток .
24-1	2648-2654	Весной	
24-2	2655-2656	,	
24-3	2657-2665	вероятно	
24-4	2666-2667	,	
24-5	2668-2673	здесь	
24-6	2674-2679	шумел	
24-7	2680-2686	дивный	
24-8	2687-2692	поток	
24-9	2693-2694	.	

#Text=Весьма вероятно , что о деле Муртазина , слушающемся сейчас в Казани , в Генпрокуратуре пока еще просто не знают .
25-1	2696-2702	Весьма	
25-2	2703-2711	вероятно	
25-3	2712-2713	,	
25-4	2714-2717	что	
25-5	2718-2719	о	
25-6	2720-2724	деле	
25-7	2725-2734	Муртазина	
25-8	2735-2736	,	
25-9	2737-2748	слушающемся	
25-10	2749-2755	сейчас	
25-11	2756-2757	в	
25-12	2758-2764	Казани	
25-13	2765-2766	,	
25-14	2767-2768	в	
25-15	2769-2783	Генпрокуратуре	
25-16	2784-2788	пока	
25-17	2789-2792	еще	
25-18	2793-2799	просто	
25-19	2800-2802	не	
25-20	2803-2808	знают	
25-21	2809-2810	.	

#Text=Когда-нибудь , рассказал ей Норман , вероятно , удастся вывести растения , которые смогут расти на лишенной воздуха поверхности Луны , и тогда зеленый живой ковер покроет пустые равнины , изменив лицо планеты .
26-1	2812-2824	Когда-нибудь	
26-2	2825-2826	,	
26-3	2827-2836	рассказал	
26-4	2837-2839	ей	
26-5	2840-2846	Норман	
26-6	2847-2848	,	
26-7	2849-2857	вероятно	
26-8	2858-2859	,	
26-9	2860-2867	удастся	
26-10	2868-2875	вывести	
26-11	2876-2884	растения	
26-12	2885-2886	,	
26-13	2887-2894	которые	
26-14	2895-2901	смогут	
26-15	2902-2907	расти	
26-16	2908-2910	на	
26-17	2911-2919	лишенной	
26-18	2920-2927	воздуха	
26-19	2928-2939	поверхности	
26-20	2940-2944	Луны	
26-21	2945-2946	,	
26-22	2947-2948	и	
26-23	2949-2954	тогда	
26-24	2955-2962	зеленый	
26-25	2963-2968	живой	
26-26	2969-2974	ковер	
26-27	2975-2982	покроет	
26-28	2983-2989	пустые	
26-29	2990-2997	равнины	
26-30	2998-2999	,	
26-31	3000-3007	изменив	
26-32	3008-3012	лицо	
26-33	3013-3020	планеты	
26-34	3021-3022	.	

#Text=Постукивая по столу ногтями с пошлым французским маникюром , она энергично изрекает глуповатые фразы , которые , вероятно , почерпнула у тренеров по личностному росту .
27-1	3024-3034	Постукивая	
27-2	3035-3037	по	
27-3	3038-3043	столу	
27-4	3044-3051	ногтями	
27-5	3052-3053	с	
27-6	3054-3060	пошлым	
27-7	3061-3072	французским	
27-8	3073-3082	маникюром	
27-9	3083-3084	,	
27-10	3085-3088	она	
27-11	3089-3098	энергично	
27-12	3099-3107	изрекает	
27-13	3108-3118	глуповатые	
27-14	3119-3124	фразы	
27-15	3125-3126	,	
27-16	3127-3134	которые	
27-17	3135-3136	,	
27-18	3137-3145	вероятно	
27-19	3146-3147	,	
27-20	3148-3158	почерпнула	
27-21	3159-3160	у	
27-22	3161-3169	тренеров	
27-23	3170-3172	по	
27-24	3173-3184	личностному	
27-25	3185-3190	росту	
27-26	3191-3192	.	

#Text=Самолет появился в полку в период интенсивных боев , и маловероятно , что нашлось время для его перекрашивания в камуфляж , принятый в 133-й дивизии .
28-1	3194-3201	Самолет	
28-2	3202-3210	появился	
28-3	3211-3212	в	
28-4	3213-3218	полку	
28-5	3219-3220	в	
28-6	3221-3227	период	
28-7	3228-3239	интенсивных	
28-8	3240-3244	боев	
28-9	3245-3246	,	
28-10	3247-3248	и	
28-11	3249-3261	маловероятно	
28-12	3262-3263	,	
28-13	3264-3267	что	
28-14	3268-3275	нашлось	
28-15	3276-3281	время	
28-16	3282-3285	для	
28-17	3286-3289	его	
28-18	3290-3304	перекрашивания	
28-19	3305-3306	в	
28-20	3307-3315	камуфляж	
28-21	3316-3317	,	
28-22	3318-3326	принятый	
28-23	3327-3328	в	
28-24	3329-3332	133	
28-25	3332-3333	-	
28-26	3333-3334	й	
28-27	3335-3342	дивизии	
28-28	3343-3344	.	

#Text=Участие этих образований в боях было маловероятно .
29-1	3346-3353	Участие	
29-2	3354-3358	этих	
29-3	3359-3370	образований	
29-4	3371-3372	в	
29-5	3373-3377	боях	
29-6	3378-3382	было	
29-7	3383-3395	маловероятно	
29-8	3396-3397	.	

#Text=Как отмечал “ Ъ ” 17 февраля , при нынешней позиции Тегерана достижение соглашения маловероятно .
30-1	3399-3402	Как	
30-2	3403-3410	отмечал	
30-3	3411-3412	“	
30-4	3413-3414	Ъ	
30-5	3415-3416	”	
30-6	3417-3419	17	
30-7	3420-3427	февраля	
30-8	3428-3429	,	
30-9	3430-3433	при	
30-10	3434-3442	нынешней	
30-11	3443-3450	позиции	
30-12	3451-3459	Тегерана	
30-13	3460-3470	достижение	
30-14	3471-3481	соглашения	
30-15	3482-3494	маловероятно	
30-16	3495-3496	.	

#Text=Однако маловероятно , что страны латиноамериканского региона испытают финансовый кризис , как это было в прошлом .
31-1	3498-3504	Однако	
31-2	3505-3517	маловероятно	
31-3	3518-3519	,	
31-4	3520-3523	что	
31-5	3524-3530	страны	
31-6	3531-3550	латиноамериканского	
31-7	3551-3558	региона	
31-8	3559-3567	испытают	
31-9	3568-3578	финансовый	
31-10	3579-3585	кризис	
31-11	3586-3587	,	
31-12	3588-3591	как	
31-13	3592-3595	это	
31-14	3596-3600	было	
31-15	3601-3602	в	
31-16	3603-3610	прошлом	
31-17	3611-3612	.	

#Text=Либо , хотя и маловероятно , коллега представляет для него угрозу , пусть и неопределенную , либо , наоборот , он может весьма пригодиться в новой жизни .
32-1	3614-3618	Либо	
32-2	3619-3620	,	
32-3	3621-3625	хотя	
32-4	3626-3627	и	
32-5	3628-3640	маловероятно	
32-6	3641-3642	,	
32-7	3643-3650	коллега	
32-8	3651-3663	представляет	
32-9	3664-3667	для	
32-10	3668-3672	него	
32-11	3673-3679	угрозу	
32-12	3680-3681	,	
32-13	3682-3687	пусть	
32-14	3688-3689	и	
32-15	3690-3704	неопределенную	
32-16	3705-3706	,	
32-17	3707-3711	либо	
32-18	3712-3713	,	
32-19	3714-3722	наоборот	
32-20	3723-3724	,	
32-21	3725-3727	он	
32-22	3728-3733	может	
32-23	3734-3740	весьма	
32-24	3741-3752	пригодиться	
32-25	3753-3754	в	
32-26	3755-3760	новой	
32-27	3761-3766	жизни	
32-28	3767-3768	.	

#Text=По словам замминистра , маловероятно , что на министерской встрече в Абу-Даби будут приняты какие-либо решения по объемам или привязке сокращения к тому или иному периоду .
33-1	3770-3772	По	
33-2	3773-3779	словам	
33-3	3780-3791	замминистра	
33-4	3792-3793	,	
33-5	3794-3806	маловероятно	
33-6	3807-3808	,	
33-7	3809-3812	что	
33-8	3813-3815	на	
33-9	3816-3828	министерской	
33-10	3829-3836	встрече	
33-11	3837-3838	в	
33-12	3839-3847	Абу-Даби	
33-13	3848-3853	будут	
33-14	3854-3861	приняты	
33-15	3862-3872	какие-либо	
33-16	3873-3880	решения	
33-17	3881-3883	по	
33-18	3884-3891	объемам	
33-19	3892-3895	или	
33-20	3896-3904	привязке	
33-21	3905-3915	сокращения	
33-22	3916-3917	к	
33-23	3918-3922	тому	
33-24	3923-3926	или	
33-25	3927-3932	иному	
33-26	3933-3940	периоду	
33-27	3941-3942	.	

#Text=Между тем из Тулона вышли еще три эсминца – « Пантера » , « Шакал » и « Тигр » , им надлежало обследовать воды у северного побережья Средиземного моря , хотя было маловероятно , что « Ондина » вдруг ни с того ни с сего решила изменить курс .
34-1	3944-3949	Между	
34-2	3950-3953	тем	
34-3	3954-3956	из	
34-4	3957-3963	Тулона	
34-5	3964-3969	вышли	
34-6	3970-3973	еще	
34-7	3974-3977	три	
34-8	3978-3985	эсминца	
34-9	3986-3987	–	
34-10	3988-3989	«	
34-11	3990-3997	Пантера	
34-12	3998-3999	»	
34-13	4000-4001	,	
34-14	4002-4003	«	
34-15	4004-4009	Шакал	
34-16	4010-4011	»	
34-17	4012-4013	и	
34-18	4014-4015	«	
34-19	4016-4020	Тигр	
34-20	4021-4022	»	
34-21	4023-4024	,	
34-22	4025-4027	им	
34-23	4028-4037	надлежало	
34-24	4038-4049	обследовать	
34-25	4050-4054	воды	
34-26	4055-4056	у	
34-27	4057-4066	северного	
34-28	4067-4076	побережья	
34-29	4077-4089	Средиземного	
34-30	4090-4094	моря	
34-31	4095-4096	,	
34-32	4097-4101	хотя	
34-33	4102-4106	было	
34-34	4107-4119	маловероятно	
34-35	4120-4121	,	
34-36	4122-4125	что	
34-37	4126-4127	«	
34-38	4128-4134	Ондина	
34-39	4135-4136	»	
34-40	4137-4142	вдруг	
34-41	4143-4145	ни	
34-42	4146-4147	с	
34-43	4148-4152	того	
34-44	4153-4155	ни	
34-45	4156-4157	с	
34-46	4158-4162	сего	
34-47	4163-4169	решила	
34-48	4170-4178	изменить	
34-49	4179-4183	курс	
34-50	4184-4185	.	

#Text=Рубль могут ослабить ограничения на инвестиции в госдолг , однако их введение маловероятно , добавляет Романчук .
35-1	4187-4192	Рубль	
35-2	4193-4198	могут	
35-3	4199-4207	ослабить	
35-4	4208-4219	ограничения	
35-5	4220-4222	на	
35-6	4223-4233	инвестиции	
35-7	4234-4235	в	
35-8	4236-4243	госдолг	
35-9	4244-4245	,	
35-10	4246-4252	однако	
35-11	4253-4255	их	
35-12	4256-4264	введение	
35-13	4265-4277	маловероятно	
35-14	4278-4279	,	
35-15	4280-4289	добавляет	
35-16	4290-4298	Романчук	
35-17	4299-4300	.	

#Text=Совершенно очевидно , что Америка и Япония как стратегические партнеры практически единогласны в деле сдерживания КНР , однако у этого есть своя цена .
36-1	4302-4312	Совершенно	
36-2	4313-4321	очевидно	
36-3	4322-4323	,	
36-4	4324-4327	что	
36-5	4328-4335	Америка	
36-6	4336-4337	и	
36-7	4338-4344	Япония	
36-8	4345-4348	как	
36-9	4349-4363	стратегические	
36-10	4364-4372	партнеры	
36-11	4373-4384	практически	
36-12	4385-4396	единогласны	
36-13	4397-4398	в	
36-14	4399-4403	деле	
36-15	4404-4415	сдерживания	
36-16	4416-4419	КНР	
36-17	4420-4421	,	
36-18	4422-4428	однако	
36-19	4429-4430	у	
36-20	4431-4436	этого	
36-21	4437-4441	есть	
36-22	4442-4446	своя	
36-23	4447-4451	цена	
36-24	4452-4453	.	

#Text=Дом был довольно велик , и в нем , очевидно , жили , но , в противоположность саду , он был весь какой-то облупленный , неряшливый , вообще неприглядный .
37-1	4455-4458	Дом	
37-2	4459-4462	был	
37-3	4463-4471	довольно	
37-4	4472-4477	велик	
37-5	4478-4479	,	
37-6	4480-4481	и	
37-7	4482-4483	в	
37-8	4484-4487	нем	
37-9	4488-4489	,	
37-10	4490-4498	очевидно	
37-11	4499-4500	,	
37-12	4501-4505	жили	
37-13	4506-4507	,	
37-14	4508-4510	но	
37-15	4511-4512	,	
37-16	4513-4514	в	
37-17	4515-4532	противоположность	
37-18	4533-4537	саду	
37-19	4538-4539	,	
37-20	4540-4542	он	
37-21	4543-4546	был	
37-22	4547-4551	весь	
37-23	4552-4560	какой-то	
37-24	4561-4572	облупленный	
37-25	4573-4574	,	
37-26	4575-4585	неряшливый	
37-27	4586-4587	,	
37-28	4588-4594	вообще	
37-29	4595-4607	неприглядный	
37-30	4608-4609	.	

#Text=Сталин , опираясь на свой личный авторитет , очевидно , верил в возможность спасти советско-германские отношения , находившиеся в состоянии серьезного кризиса .
38-1	4611-4617	Сталин	
38-2	4618-4619	,	
38-3	4620-4628	опираясь	
38-4	4629-4631	на	
38-5	4632-4636	свой	
38-6	4637-4643	личный	
38-7	4644-4653	авторитет	
38-8	4654-4655	,	
38-9	4656-4664	очевидно	
38-10	4665-4666	,	
38-11	4667-4672	верил	
38-12	4673-4674	в	
38-13	4675-4686	возможность	
38-14	4687-4693	спасти	
38-15	4694-4713	советско-германские	
38-16	4714-4723	отношения	
38-17	4724-4725	,	
38-18	4726-4738	находившиеся	
38-19	4739-4740	в	
38-20	4741-4750	состоянии	
38-21	4751-4761	серьезного	
38-22	4762-4769	кризиса	
38-23	4770-4771	.	

#Text=После того , как было доказано , что останки , очевидно , принадлежат к иному виду , нежели австралопитек , Луис Лики , Филипп Тобиас и Джон Напье в 1964 г . решил дать ему имя Человек умелый .
39-1	4773-4778	После	
39-2	4779-4783	того	
39-3	4784-4785	,	
